PDDL domain,PDDL problem,LTLf goal,Cooperative moves counter
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p2.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p2.ltlf,1
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p3.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p3.ltlf,2
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p4.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p4.ltlf,3
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p5.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p5.ltlf,4
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p6.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p6.ltlf,5
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p7.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p7.ltlf,6
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p8.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p8.ltlf,7
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p9.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p9.ltlf,8
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p10.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p10.ltlf,9
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p11.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p11.ltlf,10
