PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p2.ltlf,0.282,0.004,3.132,3.418
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p3.ltlf,0.334,0.006,1.237,1.577
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p4.ltlf,0.438,0.009,13.674,14.121
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p5.ltlf,0.433,0.015,84.264,84.712
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p6.ltlf,0.376,0.011,155.873,156.26
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p7.ltlf,0.427,0.015,18.516,18.958
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p8.ltlf,0.467,0.071,186.663,187.201
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p9.ltlf,0.505,0.162,520.61,521.277
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p10.ltlf,0.56,0.369,887.969,888.898
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p1.ltlf,0.206,0.003,0.215,0.424
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p2.ltlf,0.252,0.004,2.862,3.118
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p3.ltlf,0.285,0.009,1.195,1.489
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p4.ltlf,0.33,0.017,8.556,8.903
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p5.ltlf,0.293,0.154,61.167,61.614
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p6.ltlf,0.331,3.601,121.001,124.933
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p7.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p8.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p9.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p10.ltlf,MEM,MEM,MEM,MEM
