PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p1.ltlf,0.226,0.003,0.221,0.45
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p2.ltlf,0.262,0.003,1.292,1.557
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p3.ltlf,0.395,0.006,1.631,2.032
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p4.ltlf,0.301,0.023,32.39,32.714
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p5.ltlf,0.354,0.007,284.352,284.713
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p6.ltlf,0.367,0.011,754.931,755.309
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p7.ltlf,0.351,0.014,265.459,265.824
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p8.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p9.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p10.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
